ticker,peak_cycle_date,bot_cycle_date,peak_pattern,bot_pattern,peak_date,bot_date,peak_hit,bot_hit,all_peak_count,all_bot_count
AEP,2020/7/6,2020/7/9,[14],[12],['2020-07-24'],['2020-07-27'],"[2.2, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[2.4, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0]",879,892
AER,2020/6/5,2020/6/11,"[7, 18, 27]","[12, 18]","['2020-06-16', '2020-07-01', '2020-07-15']","['2020-06-29', '2020-07-08']","[1.6666666666666665, 1.0, 0.6666666666666666, 0.0, 0.3333333333333333, 0.0, 0.0, 0.0]","[1.9, 1.0, 1.0, 0.0, 0.0, 0.0, 0.5, 0.0]",323,319
AES,2020/6/23,2020/5/29,"[8, 21]","[9, 28]","['2020-07-06', '2020-07-23']","['2020-06-11', '2020-07-09']","[1.95, 1.0, 0.5, 0.0, 0.5, 0.5, 0.0, 0.0]","[1.8, 1.0, 0.5, 0.0, 0.5, 0.0, 0.0, 0.0]",576,603
AFB,2020/6/3,2020/6/4,"[14, 27, 35]","[5, 35]","['2020-06-23', '2020-07-13', '2020-07-23']","['2020-06-11', '2020-07-24']","[2.1666666666666665, 1.0, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.0, 0.0, 0.0]","[2.15, 1.0, 0.0, 1.0, 0.5, 0.0, 0.0, 0.5]",347,343
AFC,2020/6/5,2020/4/13,"[7, 24, 29]","[6, 15, 23, 42, 55, 64]","['2020-06-16', '2020-07-10', '2020-07-17']","['2020-04-21', '2020-05-04', '2020-05-14', '2020-06-11', '2020-06-30', '2020-07-14']","[1.7, 1.0, 0.3333333333333333, 0.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0]","[1.4666666666666666, 0.8333333333333334, 0.5, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.0, 0.16666666666666666]",283,309
AFG,2020/6/16,2020/7/9,"[11, 21, 27]",[7],"['2020-07-01', '2020-07-16', '2020-07-24']",['2020-07-20'],"[1.6666666666666665, 1.0, 0.6666666666666666, 0.0, 0.3333333333333333, 0.0, 0.0, 0.0]","[2.2, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",824,777
AFGB,2020/4/29,2020/5/21,"[9, 38]","[16, 27]","['2020-05-12', '2020-06-23']","['2020-06-15', '2020-06-30']","[0.8, 1.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.9500000000000001, 1.0, 0.5, 0.0, 0.0, 0.5, 0.0, 0.0]",3,4
AFGC,2020/4/17,2020/5/21,"[21, 31, 35, 48, 56]","[5, 28]","['2020-05-18', '2020-06-02', '2020-06-08', '2020-06-25', '2020-07-08']","['2020-05-29', '2020-07-01']","[2.3000000000000003, 0.8, 0.4, 0.2, 0.6, 0.4, 0.2, 0.0]","[1.8, 1.0, 0.0, 0.5, 0.5, 0.0, 0.0, 0.5]",9,9
AFGD,2020/6/30,2020/6/11,[17],"[21, 28, 32]",['2020-07-24'],"['2020-07-13', '2020-07-22', '2020-07-28']","[0.2, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.033333333333333, 1.0, 0.3333333333333333, 0.0, 0.6666666666666666, 0.3333333333333333, 0.0, 0.0]",2,4
AFGH,2019/1/29,2020/5/21,"[10, 15, 21, 27, 31, 41, 63, 85, 105, 126, 138, 148, 154, 167, 176, 191, 203, 215, 224, 244, 259, 276, 295, 307, 315, 324, 354, 361, 365]","[16, 27, 36, 42]","['2019-02-12', '2019-02-20', '2019-02-28', '2019-03-08', '2019-03-14', '2019-03-28', '2019-04-30', '2019-05-31', '2019-06-28', '2019-07-30', '2019-08-15', '2019-08-29', '2019-09-09', '2019-09-26', '2019-10-09', '2019-10-30', '2019-11-15', '2019-12-04', '2019-12-17', '2020-01-16', '2020-02-07', '2020-03-04', '2020-03-31', '2020-04-17', '2020-04-29', '2020-05-12', '2020-06-24', '2020-07-06', '2020-07-10']","['2020-06-15', '2020-06-30', '2020-07-14', '2020-07-22']","[1.3931034482758622, 0.1724137931034483, 0.3793103448275862, 0.27586206896551724, 0.3103448275862069, 0.06896551724137931, 0.06896551724137931, 0.0]","[1.9249999999999998, 1.0, 0.75, 0.0, 0.25, 0.25, 0.25, 0.0]",97,103
AFI,2020/6/10,2020/6/12,"[13, 24]","[9, 21, 31]","['2020-06-29', '2020-07-15']","['2020-06-25', '2020-07-14', '2020-07-28']","[1.7000000000000002, 1.0, 0.5, 0.0, 0.0, 0.5, 0.5, 0.5]","[1.6666666666666665, 1.0, 0.6666666666666666, 0.0, 0.3333333333333333, 0.0, 0.0, 0.0]",99,98
