ticker,peak_cycle_date,bot_cycle_date,peak_pattern,bot_pattern,peak_date,bot_date,peak_hit,bot_hit,all_peak_count,all_bot_count,last_date,peak_difference,bot_difference,ATR_2,signal
MAV,2020/2/7,2020/2/28,"[15, 19, 35, 48, 63, 80, 90, 107]","[14, 25, 56, 72, 98]","['2020-03-02', '2020-03-06', '2020-03-30', '2020-04-17', '2020-05-08', '2020-06-03', '2020-06-17', '2020-07-13']","['2020-03-19', '2020-04-03', '2020-05-19', '2020-06-11', '2020-07-20']","[1.825, 0.875, 0.5, 0.5, 0.25, 0.25, 0.125, 0.0]","[2.02, 0.6, 0.2, 0.2, 0.6, 0.4, 0.2, 0.0]",26,25,2020/8/10,127,113,0.00167052,T
MTL,2020/4/24,2020/6/11,"[28, 48, 60]","[14, 24, 35]","['2020-06-04', '2020-07-02', '2020-07-21']","['2020-07-01', '2020-07-16', '2020-07-31']","[2.6666666666666665, 1.0, 0.6666666666666666, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.0]","[2.6, 1.0, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.3333333333333333, 0.3333333333333333, 0.0]",26,33,2020/8/10,74,41,0.001692065,T
PPT,2020/6/10,2020/7/1,"[5, 30]",[7],"['2020-06-17', '2020-07-23']",['2020-07-13'],"[1.75, 1.0, 0.5, 1.0, 0.0, 0.0, 0.0, 0.5]","[2.2, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",31,28,2020/8/10,42,27,0.001696284,T
PVL,2020/6/8,2019/3/8,[12],"[15, 30, 45, 77, 94, 123, 131, 144, 180, 206, 218, 240, 255, 259, 271, 292, 300, 336, 344, 354]",['2020-06-24'],"['2019-03-29', '2019-04-22', '2019-05-13', '2019-06-27', '2019-07-23', '2019-09-03', '2019-09-13', '2019-10-02', '2019-11-21', '2019-12-31', '2020-01-17', '2020-02-20', '2020-03-12', '2020-03-18', '2020-04-03', '2020-05-05', '2020-05-15', '2020-07-08', '2020-07-20', '2020-08-03']","[2.4, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[1.5350000000000001, 0.1, 0.55, 0.35, 0.15, 0.2, 0.25, 0.0]",27,24,2020/8/10,44,359,0.001704849,T
JFR,2020/4/9,2019/11/21,"[13, 21, 39, 47, 57, 64, 70]","[7, 35, 51, 57, 67, 80, 91, 102, 110, 120, 140, 151, 157, 168]","['2020-04-29', '2020-05-11', '2020-06-05', '2020-06-17', '2020-07-01', '2020-07-13', '2020-07-21']","['2019-12-03', '2020-01-14', '2020-02-06', '2020-02-14', '2020-03-02', '2020-03-19', '2020-04-03', '2020-04-21', '2020-05-01', '2020-05-15', '2020-06-15', '2020-06-30', '2020-07-09', '2020-07-24']","[1.4714285714285715, 0.8571428571428571, 0.42857142857142855, 0.14285714285714285, 0.2857142857142857, 0.14285714285714285, 0.0, 0.14285714285714285]","[1.5999999999999999, 0.0, 0.35714285714285715, 0.35714285714285715, 0.35714285714285715, 0.21428571428571427, 0.14285714285714285, 0.0]",29,32,2020/8/10,84,179,0.001743713,T
JQC,2020/6/16,2019/3/7,[12],"[35, 49, 60, 72, 95, 100, 120, 135, 152, 166, 195, 216, 228, 238, 247, 261, 279, 283, 292, 301, 321, 330, 341]",['2020-07-02'],"['2019-04-26', '2019-05-16', '2019-06-03', '2019-06-19', '2019-07-23', '2019-07-30', '2019-08-27', '2019-09-18', '2019-10-11', '2019-10-31', '2019-12-12', '2020-01-14', '2020-01-31', '2020-02-14', '2020-02-28', '2020-03-19', '2020-04-15', '2020-04-21', '2020-05-04', '2020-05-15', '2020-06-15', '2020-06-26', '2020-07-14']","[2.4, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[1.4521739130434783, 0.08695652173913043, 0.4782608695652174, 0.34782608695652173, 0.17391304347826086, 0.17391304347826086, 0.21739130434782608, 0.0]",26,27,2020/8/10,38,360,0.001754222,T
ECT,2020/6/8,2020/7/1,"[6, 12, 22, 35]","[14, 20]","['2020-06-16', '2020-06-24', '2020-07-09', '2020-07-28']","['2020-07-22', '2020-07-30']","[1.725, 1.0, 0.5, 0.25, 0.25, 0.0, 0.25, 0.0]","[1.55, 1.0, 0.0, 0.5, 0.5, 0.0, 0.0, 0.0]",29,24,2020/8/10,44,27,0.001781503,T
MUX,2020/5/18,2020/7/14,"[36, 49, 55]",[12],"['2020-07-09', '2020-07-28', '2020-08-05']",['2020-07-30'],"[1.8666666666666667, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0, 0.3333333333333333, 0.3333333333333333]","[2.4, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0]",26,30,2020/8/10,58,19,0.001822126,T
MHF,2020/4/13,2020/4/3,"[21, 40, 70]","[15, 28, 46, 54, 60, 71]","['2020-05-12', '2020-06-09', '2020-07-22']","['2020-04-27', '2020-05-14', '2020-06-10', '2020-06-22', '2020-06-30', '2020-07-16']","[2.433333333333333, 0.6666666666666666, 0.3333333333333333, 0.6666666666666666, 0.6666666666666666, 0.3333333333333333, 0.0, 0.0]","[1.5333333333333334, 1.0, 0.5, 0.3333333333333333, 0.16666666666666666, 0.0, 0.16666666666666666, 0.0]",23,28,2020/8/10,83,88,0.001830699,T
EVF,2020/2/10,2020/2/13,"[16, 35, 42, 48, 55, 84, 91, 100]","[10, 24, 46, 55, 63, 84, 94, 102]","['2020-03-04', '2020-03-31', '2020-04-09', '2020-04-20', '2020-04-29', '2020-06-10', '2020-06-19', '2020-07-02']","['2020-02-28', '2020-03-19', '2020-04-21', '2020-05-04', '2020-05-14', '2020-06-15', '2020-06-29', '2020-07-10']","[2.2249999999999996, 0.625, 0.375, 0.375, 0.5, 0.25, 0.25, 0.125]","[1.725, 0.5, 0.5, 0.25, 0.25, 0.125, 0.25, 0.125]",25,27,2020/8/10,126,123,0.001843974,T
DSM,2020/5/12,2020/2/28,"[24, 40, 48]","[9, 14, 25, 32, 40, 84, 94]","['2020-06-16', '2020-07-09', '2020-07-21']","['2020-03-12', '2020-03-19', '2020-04-03', '2020-04-15', '2020-04-27', '2020-06-29', '2020-07-14']","[2.2, 1.0, 0.6666666666666666, 0.3333333333333333, 0.0, 1.0, 0.6666666666666666, 0.0]","[1.4857142857142855, 0.7142857142857143, 0.2857142857142857, 0.2857142857142857, 0.2857142857142857, 0.2857142857142857, 0.14285714285714285, 0.0]",31,21,2020/8/10,62,113,0.001847511,T
NXJ,2020/6/24,2020/4/6,[12],"[14, 27, 52, 70]",['2020-07-13'],"['2020-04-27', '2020-05-14', '2020-06-19', '2020-07-16']","[2.4, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[1.575, 0.5, 0.25, 0.25, 0.5, 0.0, 0.0, 0.0]",24,21,2020/8/10,32,87,0.001878414,T
BFZ,2020/6/10,2020/4/3,[12],"[15, 28, 47, 63]",['2020-06-26'],"['2020-04-27', '2020-05-14', '2020-06-11', '2020-07-06']","[2.4, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[1.925, 0.75, 0.5, 0.25, 0.5, 0.0, 0.0, 0.0]",23,24,2020/8/10,42,88,0.001881105,T
CBL,2020/6/16,2020/4/1,"[5, 21, 27]","[51, 56, 85]","['2020-06-23', '2020-07-16', '2020-07-24']","['2020-06-15', '2020-06-22', '2020-08-03']","[2.0666666666666664, 1.0, 0.6666666666666666, 0.3333333333333333, 0.3333333333333333, 0.0, 0.0, 0.3333333333333333]","[1.5333333333333332, 0.6666666666666666, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0, 0.0]",36,24,2020/8/10,38,90,0.001881106,T
